material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Paper Sludge,Paper,Brick Manufacturing,11.24,86,149,99.75,13.91,1.3,1121.19,156.35,193.7,350.05,771.14,220.29,Excellent
Bagasse,Sugar,Paper,53.39,92,342,149.6,17.16,2.18,7987.14,916.17,745.56,1661.73,6325.41,380.65,Excellent
Paper Sludge,Paper,Brick Manufacturing,3.58,75,297,95.62,14.93,2.29,342.32,53.45,680.13,733.58,-391.26,-53.34,Loss
Chemical Sludge,Chemical,Hazardous Treatment Facility,70.39,75,115,663.0,192.0,1.12,46668.57,13514.88,128.8,13643.68,33024.89,242.05,Excellent
Fly Ash,Thermal Power,Cement,4.91,79,45,90.65,12.48,1.75,445.09,61.28,78.75,140.03,305.06,217.85,Excellent
Plastic Scrap,Packaging,Plastic Recycling,46.98,78,470,283.8,41.87,1.98,13332.92,1967.05,930.6,2897.65,10435.27,360.13,Excellent
Used Oil,Automotive,Authorized Oil Recycler,37.7,83,28,591.75,121.6,2.42,22308.98,4584.32,67.76,4652.08,17656.9,379.55,Excellent
Paper Sludge,Paper,Brick Manufacturing,6.26,93,489,102.38,13.25,1.01,640.9,82.94,493.89,576.83,64.07,11.11,Low Profit
Used Oil,Automotive,Authorized Oil Recycler,82.79,71,124,564.75,131.2,2.12,46755.65,10862.05,262.88,11124.93,35630.72,320.28,Excellent
Cotton Scrap,Textile,Paper,61.74,84,333,237.6,35.23,2.0,14669.42,2175.1,666.0,2841.1,11828.32,416.33,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,63.41,86,178,1197.0,298.0,1.11,75901.77,18896.18,197.58,19093.76,56808.01,297.52,Excellent
Bagasse,Sugar,Paper,2.38,70,196,137.5,19.8,1.22,327.25,47.12,239.12,286.24,41.01,14.33,Low Profit
Cotton Scrap,Textile,Paper,63.06,84,204,237.6,35.23,0.96,14983.06,2221.6,195.84,2417.44,12565.62,519.79,Excellent
Used Oil,Automotive,Authorized Oil Recycler,35.58,82,222,589.5,122.4,1.88,20974.41,4354.99,417.36,4772.35,16202.06,339.5,Excellent
Steel Slag,Steel,Construction,62.29,93,24,116.03,14.2,1.12,7227.51,884.52,26.88,911.4,6316.11,693.01,Excellent
Used Oil,Automotive,Authorized Oil Recycler,63.29,72,311,567.0,130.4,2.08,35885.43,8253.02,646.88,8899.9,26985.53,303.21,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,45.15,83,118,1183.5,304.0,1.64,53435.03,13725.6,193.52,13919.12,39515.91,283.9,Excellent
Plastic Scrap,Packaging,Plastic Recycling,45.74,90,126,297.0,38.67,2.22,13584.78,1768.77,279.72,2048.49,11536.29,563.16,Excellent
Bagasse,Sugar,Paper,85.57,95,452,151.25,16.8,2.42,12942.46,1437.58,1093.84,2531.42,10411.04,411.27,Excellent
Bagasse,Sugar,Paper,10.0,73,67,139.15,19.44,1.27,1391.5,194.4,85.09,279.49,1112.01,397.87,Excellent
Fly Ash,Thermal Power,Cement,44.14,85,53,92.75,12.0,1.77,4093.99,529.68,93.81,623.49,3470.5,556.62,Excellent
Food Waste,Food,Biogas,78.96,78,389,77.4,10.47,1.17,6111.5,826.71,455.13,1281.84,4829.66,376.78,Excellent
Glass Waste,Glass,Glass Recycling,54.92,80,216,130.0,22.73,1.66,7139.6,1248.33,358.56,1606.89,5532.71,344.31,Excellent
Rice Husk,Agriculture,Biofuel,96.48,97,176,131.57,18.4,1.57,12693.87,1775.23,276.32,2051.55,10642.32,518.75,Excellent
Paper Sludge,Paper,Brick Manufacturing,14.94,96,412,103.5,12.97,1.4,1546.29,193.77,576.8,770.57,775.72,100.67,Excellent
Cotton Scrap,Textile,Paper,14.78,85,374,238.5,35.0,1.72,3525.03,517.3,643.28,1160.58,2364.45,203.73,Excellent
Used Oil,Automotive,Authorized Oil Recycler,53.15,92,40,612.0,114.4,2.34,32527.8,6080.36,93.6,6173.96,26353.84,426.85,Excellent
Glass Waste,Glass,Glass Recycling,32.47,77,93,128.5,23.17,0.87,4172.39,752.33,80.91,833.24,3339.15,400.74,Excellent
Glass Waste,Glass,Glass Recycling,98.76,76,490,128.0,23.32,1.86,12641.28,2303.08,911.4,3214.48,9426.8,293.26,Excellent
Bagasse,Sugar,Paper,18.06,72,131,138.6,19.56,1.54,2503.12,353.25,201.74,554.99,1948.13,351.02,Excellent
Cotton Scrap,Textile,Paper,8.27,72,94,226.8,38.03,1.82,1875.64,314.51,171.08,485.59,1390.05,286.26,Excellent
Glass Waste,Glass,Glass Recycling,97.58,74,80,127.0,23.61,0.82,12392.66,2303.86,65.6,2369.46,10023.2,423.02,Excellent
Glass Waste,Glass,Glass Recycling,29.72,94,242,137.0,20.68,1.19,4071.64,614.61,287.98,902.59,3169.05,351.11,Excellent
Steel Slag,Steel,Construction,17.22,72,485,107.1,16.3,2.06,1844.26,280.69,999.1,1279.79,564.47,44.11,High Profit
Plastic Scrap,Packaging,Plastic Recycling,18.86,77,226,282.7,42.13,2.11,5331.72,794.57,476.86,1271.43,4060.29,319.35,Excellent
Steel Slag,Steel,Construction,11.59,76,408,108.8,15.9,1.54,1260.99,184.28,628.32,812.6,448.39,55.18,High Profit
E-Waste,Electronics,Authorized E-Waste Recycler,62.65,75,282,1147.5,320.0,2.36,71890.88,20048.0,665.52,20713.52,51177.36,247.07,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,51.75,92,253,707.2,171.6,1.53,36597.6,8880.3,387.09,9267.39,27330.21,294.91,Excellent
Steel Slag,Steel,Construction,57.45,71,244,106.67,16.4,2.46,6128.19,942.18,600.24,1542.42,4585.77,297.31,Excellent
Plastic Scrap,Packaging,Plastic Recycling,75.65,82,75,288.2,40.8,0.94,21802.33,3086.52,70.5,3157.02,18645.31,590.6,Excellent
Fly Ash,Thermal Power,Cement,61.83,93,143,95.55,11.36,1.11,5907.86,702.39,158.73,861.12,5046.74,586.07,Excellent
